DATE,EMVELECTGOVRN
1985-01-01,0.16149
1985-02-01,0.32348
1985-03-01,0.08269
1985-04-01,0.14258
1985-05-01,0.13203
1985-06-01,0.06578
1985-07-01,0.16384
1985-08-01,0.08383
1985-09-01,0.07282
1985-10-01,0.18797
1985-11-01,0.14364
1985-12-01,0.12827
1986-01-01,0.06576
1986-02-01,0.40396
1986-03-01,0.20022
1986-04-01,0.06526
1986-05-01,0.06942
1986-06-01,0.12178
1986-07-01,0.21859
1986-08-01,0.13574
1986-09-01,0.20675
1986-10-01,0.12809
1986-11-01,0.31304
1986-12-01,0.11660
1987-01-01,0.23759
1987-02-01,0.11769
1987-03-01,0.15801
1987-04-01,0.17178
1987-05-01,0.29026
1987-06-01,0.16557
1987-07-01,0.26953
1987-08-01,0.36534
1987-09-01,0.29391
1987-10-01,1.26242
1987-11-01,1.29465
1987-12-01,1.63622
1988-01-01,1.20629
1988-02-01,0.55157
1988-03-01,0.50448
1988-04-01,0.66173
1988-05-01,0.82762
1988-06-01,0.25337
1988-07-01,0.84063
1988-08-01,1.07914
1988-09-01,0.80527
1988-10-01,1.55432
1988-11-01,1.26795
1988-12-01,0.44816
1989-01-01,0.27336
1989-02-01,0.22805
1989-03-01,0.13661
1989-04-01,0.00000
1989-05-01,0.20035
1989-06-01,0.39998
1989-07-01,0.31250
1989-08-01,0.21102
1989-09-01,0.09790
1989-10-01,0.18954
1989-11-01,0.20084
1989-12-01,0.55278
1990-01-01,0.53038
1990-02-01,0.41457
1990-03-01,0.35638
1990-04-01,0.29866
1990-05-01,0.25208
1990-06-01,0.19607
1990-07-01,0.22546
1990-08-01,0.09522
1990-09-01,0.20183
1990-10-01,0.20562
1990-11-01,0.28304
1990-12-01,0.21546
1991-01-01,0.36465
1991-02-01,0.06496
1991-03-01,0.05411
1991-04-01,0.21910
1991-05-01,0.46996
1991-06-01,0.21946
1991-07-01,0.22852
1991-08-01,2.99323
1991-09-01,0.89623
1991-10-01,0.72119
1991-11-01,0.92491
1991-12-01,0.86604
1992-01-01,0.93794
1992-02-01,0.56507
1992-03-01,0.56230
1992-04-01,0.80044
1992-05-01,0.95747
1992-06-01,1.20058
1992-07-01,1.43725
1992-08-01,1.36140
1992-09-01,1.73408
1992-10-01,2.95400
1992-11-01,1.25236
1992-12-01,0.48577
1993-01-01,0.56442
1993-02-01,0.29809
1993-03-01,0.54993
1993-04-01,0.21814
1993-05-01,0.40183
1993-06-01,0.39603
1993-07-01,0.34352
1993-08-01,0.17059
1993-09-01,0.46127
1993-10-01,0.56651
1993-11-01,0.32167
1993-12-01,0.31839
1994-01-01,0.20678
1994-02-01,0.80347
1994-03-01,0.82199
1994-04-01,0.57406
1994-05-01,0.40503
1994-06-01,0.24642
1994-07-01,0.34279
1994-08-01,1.12291
1994-09-01,0.84429
1994-10-01,0.35038
1994-11-01,0.20922
1994-12-01,0.30485
1995-01-01,0.70749
1995-02-01,0.37688
1995-03-01,0.32750
1995-04-01,0.43281
1995-05-01,0.48717
1995-06-01,0.05778
1995-07-01,0.12173
1995-08-01,0.11472
