"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2023","1,902.41","1,825.61","1,902.70","1,809.55","","4.21%"
"02/01/2023","1,825.62","1,927.41","1,959.76","1,805.05","","-5.28%"
"01/01/2023","1,927.41","1,827.95","1,949.29","1,824.24","","5.65%"
"12/01/2022","1,824.40","1,768.54","1,833.39","1,765.32","","3.16%"
"11/01/2022","1,768.45","1,633.40","1,786.68","1,616.18","","8.29%"
"10/01/2022","1,633.12","1,661.30","1,729.73","1,617.21","","-1.60%"
"09/01/2022","1,659.67","1,711.09","1,735.37","1,614.35","","-3.00%"
"08/01/2022","1,710.96","1,765.05","1,808.05","1,708.66","","-3.13%"
"07/01/2022","1,766.22","1,807.78","1,815.01","1,681.25","","-2.28%"
"06/01/2022","1,807.48","1,836.96","1,877.64","1,802.09","","-1.63%"
"05/01/2022","1,837.37","1,895.57","1,909.83","1,786.88","","-3.13%"
"04/01/2022","1,896.83","1,937.64","1,998.54","1,872.25","","-2.10%"
"03/01/2022","1,937.51","1,908.09","2,070.16","1,889.72","","1.53%"
"02/01/2022","1,908.27","1,796.09","1,974.33","1,788.07","","6.19%"
"01/01/2022","1,797.03","1,830.44","1,854.23","1,779.76","","-1.74%"
"12/01/2021","1,828.78","1,773.54","1,830.45","1,753.69","","3.07%"
"11/01/2021","1,774.35","1,783.43","1,877.47","1,758.20","","-0.51%"
"10/01/2021","1,783.39","1,757.23","1,814.22","1,745.42","","1.51%"
"09/01/2021","1,756.92","1,813.55","1,834.06","1,720.75","","-3.13%"
"08/01/2021","1,813.71","1,814.17","1,831.79","1,684.65","","-0.02%"
"07/01/2021","1,814.09","1,770.30","1,834.16","1,765.40","","2.49%"
"06/01/2021","1,770.07","1,907.52","1,916.66","1,749.46","","-7.16%"
"05/01/2021","1,906.61","1,768.14","1,912.76","1,765.55","","7.77%"
"04/01/2021","1,769.19","1,708.42","1,798.28","1,705.33","","3.63%"
"03/01/2021","1,707.28","1,733.17","1,759.81","1,676.38","","-1.53%"
"02/01/2021","1,733.89","1,862.89","1,871.89","1,717.25","","-6.10%"
"01/01/2021","1,846.49","1,897.72","1,959.41","1,810.31","","-2.68%"
"12/01/2020","1,897.28","1,777.19","1,907.25","1,775.64","","6.75%"
"11/01/2020","1,777.38","1,877.71","1,965.69","1,764.65","","-5.41%"
"10/01/2020","1,878.95","1,886.50","1,933.96","1,859.92","","-0.36%"
"09/01/2020","1,885.75","1,967.54","1,992.22","1,847.88","","-4.28%"
"08/01/2020","1,970.15","1,980.27","2,072.90","1,864.07","","-0.29%"
"07/01/2020","1,975.89","1,781.81","1,981.77","1,758.05","","10.90%"
"06/01/2020","1,781.66","1,737.09","1,786.46","1,671.14","","3.09%"
"05/01/2020","1,728.30","1,685.95","1,766.55","1,670.53","","2.57%"
"04/01/2020","1,685.05","1,569.95","1,751.45","1,569.41","","7.24%"
"03/01/2020","1,571.31","1,590.96","1,702.82","1,451.24","","-0.87%"
"02/01/2020","1,585.12","1,589.84","1,689.05","1,547.29","","-0.32%"
"01/01/2020","1,590.20","1,517.25","1,611.29","1,517.19","","4.80%"
"12/01/2019","1,517.39","1,467.02","1,525.59","1,453.98","","3.59%"
"11/01/2019","1,464.80","1,514.03","1,516.31","1,446.08","","-3.21%"
"10/01/2019","1,513.36","1,472.10","1,518.69","1,458.69","","2.79%"
"09/01/2019","1,472.25","1,520.05","1,557.25","1,464.24","","-3.16%"
"08/01/2019","1,520.25","1,411.36","1,554.96","1,400.71","","7.53%"
"07/01/2019","1,413.80","1,392.83","1,452.85","1,381.76","","0.31%"
"06/01/2019","1,409.50","1,307.55","1,439.03","1,306.70","","7.95%"
"05/01/2019","1,305.65","1,283.61","1,307.04","1,266.25","","1.72%"
"04/01/2019","1,283.60","1,291.33","1,310.75","1,266.15","","-0.66%"
"03/01/2019","1,292.15","1,312.81","1,324.58","1,280.95","","-1.59%"
"02/01/2019","1,313.05","1,321.27","1,347.12","1,302.49","","-0.60%"
"01/01/2019","1,320.94","1,283.07","1,326.68","1,276.69","","2.97%"
"12/01/2018","1,282.82","1,223.13","1,284.18","1,221.10","","4.98%"
"11/01/2018","1,221.97","1,214.86","1,237.47","1,195.99","","0.61%"
"10/01/2018","1,214.54","1,192.21","1,243.72","1,183.44","","1.88%"
"09/01/2018","1,192.09","1,200.24","1,213.05","1,180.74","","-0.75%"
"08/01/2018","1,201.09","1,223.82","1,225.18","1,160.34","","-1.86%"
"07/01/2018","1,223.83","1,253.53","1,266.29","1,211.50","","-2.33%"
"06/01/2018","1,253.00","1,299.33","1,310.05","1,246.07","","-3.49%"
"05/01/2018","1,298.32","1,315.60","1,326.36","1,282.16","","-1.30%"
"04/01/2018","1,315.36","1,326.21","1,365.63","1,310.51","","-0.73%"
"03/01/2018","1,325.00","1,319.14","1,357.66","1,303.61","","0.53%"
"02/01/2018","1,318.05","1,345.40","1,362.14","1,307.19","","-2.01%"
"01/01/2018","1,345.10","1,302.89","1,366.47","1,302.85","","3.27%"
"12/01/2017","1,302.55","1,274.31","1,307.69","1,236.02","","2.18%"
"11/01/2017","1,274.76","1,270.89","1,299.53","1,265.56","","0.25%"
"10/01/2017","1,271.58","1,279.47","1,306.44","1,260.54","","-0.62%"
"09/01/2017","1,279.45","1,321.75","1,357.89","1,277.61","","-3.22%"
"08/01/2017","1,322.07","1,268.77","1,326.41","1,251.48","","4.14%"
"07/01/2017","1,269.55","1,241.86","1,271.48","1,204.95","","2.25%"
"06/01/2017","1,241.60","1,268.91","1,296.37","1,236.86","","-2.13%"
"05/01/2017","1,268.59","1,268.61","1,274.24","1,214.32","","0.03%"
"04/01/2017","1,268.15","1,248.40","1,295.92","1,243.85","","1.52%"
"03/01/2017","1,249.13","1,248.99","1,261.53","1,195.05","","0.04%"
"02/01/2017","1,248.59","1,210.58","1,263.87","1,197.80","","3.14%"
"01/01/2017","1,210.63","1,150.83","1,219.71","1,145.80","","5.10%"
"12/01/2016","1,151.85","1,173.29","1,188.10","1,122.73","","-1.81%"
"11/01/2016","1,173.11","1,277.22","1,337.81","1,170.75","","-8.16%"
"10/01/2016","1,277.38","1,317.83","1,319.70","1,241.30","","-2.93%"
"09/01/2016","1,315.96","1,308.96","1,352.81","1,302.07","","0.54%"
"08/01/2016","1,308.95","1,350.02","1,367.83","1,305.41","","-3.11%"
"07/01/2016","1,350.91","1,323.32","1,375.23","1,310.88","","2.17%"
"06/01/2016","1,322.18","1,215.85","1,358.60","1,205.95","","8.80%"
"05/01/2016","1,215.24","1,293.86","1,304.15","1,200.15","","-6.07%"
"04/01/2016","1,293.74","1,232.68","1,296.49","1,208.84","","4.95%"
"03/01/2016","1,232.70","1,238.54","1,283.26","1,208.90","","-0.44%"
"02/01/2016","1,238.14","1,117.88","1,260.98","1,116.24","","10.74%"
"01/01/2016","1,118.04","1,061.11","1,128.20","1,060.64","","5.35%"
"12/01/2015","1,061.30","1,064.55","1,089.09","1,046.23","","-0.29%"
"11/01/2015","1,064.42","1,141.49","1,143.01","1,052.86","","-6.82%"
"10/01/2015","1,142.38","1,115.13","1,191.01","1,104.49","","2.46%"
"09/01/2015","1,115.00","1,135.01","1,156.70","1,098.75","","-1.72%"
"08/01/2015","1,134.50","1,095.26","1,168.80","1,081.00","","3.55%"
"07/01/2015","1,095.65","1,172.65","1,175.25","1,077.25","","-6.56%"
"06/01/2015","1,172.60","1,190.90","1,205.90","1,162.75","","-1.50%"
"05/01/2015","1,190.50","1,184.91","1,232.95","1,170.95","","0.52%"
"04/01/2015","1,184.37","1,183.77","1,224.62","1,175.25","","0.07%"
"03/01/2015","1,183.50","1,213.80","1,223.60","1,143.26","","-2.44%"
"02/01/2015","1,213.15","1,281.66","1,285.70","1,191.51","","-5.48%"
"01/01/2015","1,283.55","1,184.15","1,306.95","1,169.00","","8.41%"
"12/01/2014","1,183.95","1,166.99","1,238.60","1,143.31","","1.42%"
"11/01/2014","1,167.35","1,173.60","1,208.01","1,132.16","","-0.60%"
"10/01/2014","1,174.42","1,209.24","1,255.70","1,161.75","","-2.88%"
"09/01/2014","1,209.24","1,287.29","1,290.60","1,204.90","","-6.08%"
"08/01/2014","1,287.57","1,282.24","1,323.10","1,273.56","","0.41%"
"07/01/2014","1,282.35","1,327.10","1,345.26","1,281.02","","-3.40%"
"06/01/2014","1,327.50","1,250.85","1,329.41","1,240.92","","6.11%"
"05/01/2014","1,251.05","1,291.40","1,315.96","1,242.35","","-3.16%"
"04/01/2014","1,291.90","1,284.25","1,331.51","1,268.85","","0.60%"
"03/01/2014","1,284.25","1,326.50","1,392.37","1,282.65","","-3.18%"
"02/01/2014","1,326.40","1,245.31","1,345.96","1,240.85","","6.64%"
"01/01/2014","1,243.80","1,210.41","1,278.62","1,199.40","","3.17%"
"12/01/2013","1,205.55","1,251.65","1,267.87","1,185.11","","-3.82%"
"11/01/2013","1,253.49","1,324.59","1,328.76","1,228.84","","-5.31%"
"10/01/2013","1,323.80","1,327.75","1,362.21","1,252.27","","-0.28%"
"09/01/2013","1,327.55","1,396.46","1,416.61","1,291.95","","-4.93%"
"08/01/2013","1,396.40","1,323.30","1,434.02","1,273.35","","5.54%"
