"DATE";"US_EUR.x";"WTISPOT";"CPI_USA";"CPU";"Consumer_sentiment";"EMV_commodity";"EMV_elections";"EMV_energy";"EMV_USA";"EPU_China";"EPU_USA";"FED";"GAS";"IRON";"PPI_sand";"US_EUR.y"
1999-01-01;1,1591;12,47;72,364306605049;74,13790557;103,9;15,53988;0,6216;0,39556;34,01822;260,050423803894;98,64504;4,63;1,85;11,93;131,9;1,1591
1999-02-01;1,1203;12,01;72,5294276697496;55,12147966;108,1;8,94182;0,37706;0,26933;21,43883;212,133158330475;82,38359;4,76;1,77;11,93;132,3;1,1203
1999-03-01;1,0886;14,66;72,7358290006254;94,39361171;105,7;10,3201;0,30503;0,45754;22,87707;309,743378274956;66,00054;4,81;1,79;11,93;132,2;1,0886
1999-04-01;1,0701;17,34;72,9835105976764;73,2387762;104,6;9,72882;0,43346;0,04816;21,43229;287,197806291863;67,53295;4,74;2,15;11,93;132,2;1,0701
1999-05-01;1,063;17,75;72,900950065326;36,90790935;106,8;8,68071;0,67517;0,24113;19,48337;298,989173215704;67,08854;4,74;2,26;11,93;134,8;1,063
1999-06-01;1,0377;17,89;72,900950065326;51,39378531;107,3;8,45062;0,70005;0,30002;20,60151;188,436508336358;73,01111;4,76;2,3;11,93;134,8;1,0377
1999-07-01;1,037;20,07;73,0247908638515;53,04863344;106;9,20165;0,38802;0,27716;23,39215;179,531378724069;79,81311;4,99;2,31;11,93;134,8;1,037
1999-08-01;1,0605;21,26;73,1073513962018;42,61270724;104,5;10,60636;0,71104;0,47403;26,13074;271,313513336396;69,55318;5,07;2,8;11,93;134,8;1,0605
1999-09-01;1,0497;23,88;73,3550329932528;48,70340389;107,2;9,32355;0,37725;0,21557;22,09628;330,86958486273;69,81624;5,22;2,55;11,93;134,8;1,0497
1999-10-01;1,0706;22,64;73,6027145903037;44,88894739;103,2;11,95451;0,41946;0,26216;25,32469;140,070108726809;62,71155;5,2;2,73;11,93;134,8;1,0706
1999-11-01;1,0328;24,97;73,6439948564788;48,6570554;107,2;8,77189;0,31706;0,15853;19,44613;116,403514721453;82,06383;5,42;2,37;11,93;134,8;1,0328
1999-12-01;1,011;26,08;73,5614343241285;81,87298677;105,4;8,03683;0,84598;0,15862;17,23688;245,872524916024;83,80947;5,3;2,36;11,93;134,8;1,011
2000-01-01;1,0131;27,18;73,8091159211795;68,31159087;112;8,19618;0,40981;0;24,4129;58,98450388;89,20154;5,45;2,42;12,45;134,9;1,0131
2000-02-01;0,9834;29,35;74,0980777844056;46,02471835;111,3;7,49682;0,40998;0;19,91344;15,91917893;77,60139;5,73;2,66;12,45;136,4;0,9834
2000-03-01;0,9643;29,89;74,5108804461571;35,05368162;107,1;10,73569;1,29958;0,11301;26,10467;46,51684733;77,54831;5,85;2,79;12,45;136,2;0,9643
2000-04-01;0,9449;25,74;74,6760015108578;47,90848398;109,2;15,39258;0,6719;0,18325;43,42907;28,30297269;76,05923;6,02;3,04;12,45;136,2;0,9449
2000-05-01;0,9059;28,78;74,6760015108578;63,21925829;110,7;11,72202;0,80053;0,2859;34,30836;31,42203087;97,9862;6,27;3,59;12,45;136,2;0,9059
2000-06-01;0,9505;31,83;74,7172817770329;75,55926217;106,4;8,78118;0,91829;0,17218;24,22;43,22094891;92,96502;6,53;4,29;12,45;136,7;0,9505
2000-07-01;0,9386;29,77;74,8411225755584;40,69510219;108,3;8,06481;0,44191;0,11048;20,32775;42,66123811;79,44697;6,54;3,99;12,45;136,7;0,9386
2000-08-01;0,9045;31,22;75,006243640259;55,14588067;107,3;7,1337;0,90502;0,15971;18,0472;27,39628704;66,58133;6,5;4,43;12,45;136,7;0,9045
2000-09-01;0,8695;33,88;75,2539252373099;71,03655763;106,8;8,52203;0,58957;0,32159;18,59839;31,49993892;75,14165;6,52;5,06;12,45;136,7;0,8695
2000-10-01;0,8525;33,08;75,4603265681857;70,58561769;105,8;15,47532;1,5845;0,3169;28,46826;42,28805325;84,66172;6,51;5,02;12,45;136,7;0,8525
2000-11-01;0,8552;34,4;75,542887100536;109,5600241;107,6;12,10298;7,17213;0,28016;30,64967;10,11133275;125,06753;6,51;5,52;12,45;136,7;0,8552
2000-12-01;0,8983;28,46;75,4603265681857;66,28478324;98,4;13,351;4,17614;0,88585;34,10517;48,47464547;115,26872;6,4;8,9;12,45;136,9;0,8983
2001-01-01;0,9376;29,58;75,7492884314118;100,4816768;94,7;10,87123;0,99331;0,66221;28,86119;52,62861578;111,41604;5,98;8,17;12,99;137,4;0,9376
2001-02-01;0,9205;29,61;76,1208108269882;90,9684846;90,6;7,11344;0,28006;0,16803;20,94825;40,72209758;110,91785;5,49;5,61;12,99;139;0,9205
2001-03-01;0,9083;27,24;76,4923332225646;93,88492055;91,5;11,02766;0,47037;0,47037;31,14923;58,16461627;116,02693;5,31;5,23;12,99;140,3;0,9083
2001-04-01;0,8925;27,41;76,6161740210901;90,85312226;88,4;9,91561;0,47468;0,3692;27,16244;26,10220578;122,6734;4,8;5,19;12,99;141,5;0,8925
2001-05-01;0,8753;28,64;76,5748937549149;108,0645824;92;7,14895;0,32495;0,10832;22,1509;27,74165868;100,42901;4,21;4,19;12,99;141,5;0,8753
2001-06-01;0,853;27,6;76,7400148196156;113,7365429;92,6;5,68742;0,27083;0,325;17,06226;41,25226474;86,39027;3,97;3,72;12,99;141,5;0,853
2001-07-01;0,8615;26,45;76,863855618141;92,44396622;92,4;7,42084;0,28109;0,11244;22,31875;30,33482603;102,13185;3,77;3,11;12,99;141,5;0,8615
2001-08-01;0,9014;27,47;77,0289766828416;73,273651;91,5;6,67511;0,33376;0,33376;19,9697;38,78087531;84,28912;3,65;2,97;12,99;141,5;0,9014
2001-09-01;0,9114;25,88;77,2353780137174;104,0768634;81,8;17,36186;0,71261;0,19435;42,43291;43,49153501;188,05949;3,07;2,19;12,99;140,1;0,9114
2001-10-01;0,905;22,21;77,4417793445932;100,3506418;82,7;11,37489;0,30882;0,15441;29,33796;51,09976936;173,14334;2,49;2,46;12,99;140,1;0,905
2001-11-01;0,8883;19,67;77,648180675469;79,42252081;83,9;10,13108;0,11578;0,34735;26,39871;53,28476419;130,57563;2,09;2,34;12,99;140,1;0,8883
2001-12-01;0,8912;19,33;77,5243398769436;76,21255298;88,8;8,9711;0,41588;0,35647;24,35863;60,70131235;117,23658;1,82;2,3;12,99;140,1;0,8912
2002-01-01;0,8832;19,67;77,6894609416441;64,90589125;93;11,30684;0,53278;1,00637;28,65188;62,38264445;116,83745;1,73;2,32;12,68;142,4;0,8832
2002-02-01;0,8707;20,74;78,1022636033957;110,4691031;90,7;8,2048;0,11638;0,29095;24,84717;40,89060422;87,60069;1,74;2,32;12,68;142,4;0,8707
2002-03-01;0,8766;24,42;78,3499452004466;62,49144113;95,7;7,1925;0,20848;0,20848;17,77277;54,13427806;83,44043;1,73;3,03;12,68;142,4;0,8766
2002-04-01;0,886;26,27;78,5563465313224;93,90980592;93;8,69875;0,45783;0,45783;20,08723;45,87688992;88,5661;1,75;3,43;12,68;143,7;0,886
2002-05-01;0,917;27,02;78,5150662651473;59,36087039;96,9;7,30863;0,16122;0,32244;18,91645;46,98545817;86,29886;1,75;3,5;12,68;143,6;0,917
2002-06-01;0,9561;25,52;78,4737859989721;105,1377443;92,4;9,38051;0,58628;0,4104;24,79973;30,36735404;93,61022;1,75;3,26;12,68;143,6;0,9561
2002-07-01;0,9935;26,94;78,5563465313224;89,29076438;88,1;18,90335;0,722;0,52509;51,59039;54,34513958;110,30517;1,73;2,99;12,68;143,6;0,9935
2002-08-01;0,9781;28,38;78,8453083945485;126,9246319;87,6;13,73029;0,59126;0,45987;39,48278;44,13366267;116,01482;1,74;3,09;12,68;143,6;0,9781
2002-09-01;0,9806;29,67;78,969149193074;100,9248128;86,1;11,92603;1,2488;0,18732;31,96925;55,47708073;124,04315;1,75;3,55;12,68;143,6;0,9806
2002-10-01;0,9812;28,85;79,1755505239498;102,8782854;80,6;11,2218;1,07386;0,21477;31,46399;56,66385825;111,88598;1,75;4,13;12,68;143,6;0,9812
2002-11-01;1,0013;26,27;79,1755505239498;58,90880378;84,2;8,47045;1,08012;0,22739;23,5922;59,87563908;123,28439;1,34;4,04;12,68;143,6;1,0013
2002-12-01;1,0194;29,42;79,0104294592492;84,16593885;86,7;8,88619;0,83832;0,33533;24,47894;91,01698588;122,22166;1,24;4,74;12,68;143,6;1,0194
2003-01-01;1,0622;32,94;79,1755505239498;84,1561725;82,4;12,15232;0,71484;0,16496;26,33919;46,17538027;138,9534;1,24;5,43;13,82;144,9;1,0622
2003-02-01;1,0785;35,87;79,4645123871759;76,86654288;79,9;9,63721;0,24245;0,12122;22,72928;27,99059579;126,72774;1,26;7,71;13,82;151,1;1,0785
2003-03-01;1,0797;33,55;79,6709137180516;86,26357192;77,6;15,47368;0,32237;0,05373;30,03399;71,17307215;163,52381;1,25;5,93;13,82;151,1;1,0797
2003-04-01;1,0862;28,25;79,7121939842268;62,89947717;86;10,63206;0,75176;0,16109;25,45252;101,5685022;135,62755;1,26;5,26;13,82;149,9;1,0862
2003-05-01;1,1556;28,14;79,753474250402;70,57107226;92,1;7,3643;0,26682;0,16009;20,70543;68,83051993;102,61982;1,26;5,81;13,82;149,9;1,1556
2003-06-01;1,1674;30,72;79,6709137180516;67,13287061;89,7;6,68431;0,3183;0,37135;20,10598;54,98127915;95,82729;1,22;5,82;13,82;149,9;1,1674
